,fwt_mrr_entity,fwt_hits@1_entity,fwt_hits@3_entity,fwt_hits@10_entity,fwt_mrr_relation,fwt_hits@1_relation,fwt_hits@3_relation,fwt_hits@10_relation,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
ER-entity,0.4794868765964898,0.4410019775873434,0.4919248516809492,0.5555372445616348,0.8373111732397412,0.7725774555042847,0.8701384311140408,0.987475280158207,0.5987616153214953,0.5515271368929906,0.6179960448253131,0.6995165897604922
ER-entity-relation,0.48110263852123847,0.4426499670402109,0.4935728411338167,0.5538892551087673,0.8601253662914057,0.8032300593276203,0.8922214897824653,0.9904416611733684,0.6074436550689409,0.562843331136014,0.6264557240166997,0.6994067237969678
ER-relation,0.45818995234993,0.42336849044166114,0.4729729729729729,0.5260382333553065,0.8093952136206328,0.7488464073829927,0.8305866842452208,0.9709953856295319,0.5752583995962426,0.5318611294221051,0.5921775433970556,0.6743572841133817
hybrid-entity,0.4796113609560399,0.4418259723137772,0.48945286750164796,0.5571852340145023,0.8393145908866183,0.7715886618325642,0.8816743572841134,0.991430454845089,0.5995124375995661,0.5517468688200395,0.6201933640958032,0.7019336409580312
hybrid-entity-relation,0.48095602539706245,0.44149637442320366,0.4937376400791035,0.5583388266315095,0.8610912265161503,0.8091628213579433,0.8843111404087013,0.9881344759393539,0.6076677859261701,0.5640518567347836,0.6239288068556361,0.7016040430674577
hybrid-relation,0.4522149847303477,0.41446934739617664,0.4691825972313777,0.5207646671061305,0.8784336600558257,0.8302570863546472,0.9063941990771258,0.9762689518787079,0.594287903328252,0.5530652603823336,0.6149197978466271,0.6725994286969897
RP-entity,0.48088271883497447,0.4408371786420567,0.4935728411338167,0.5617996044825313,0.847583184842617,0.7844429795649307,0.8849703361898483,0.995385629531971,0.6031161806814437,0.5553724456163481,0.6240386728191607,0.7063282794990112
RP-entity-relation,0.3627778809559369,0.34871456822676333,0.36783124588002636,0.38727752142386285,0.9022619138050016,0.8391562294001318,0.9581410678971654,0.9999999999999999,0.5426058919056251,0.5121951219512195,0.5646011865524061,0.5915183476159086
RP-relation,0.40011634902099125,0.35810810810810806,0.4215557020435069,0.4757745550428477,0.8918521405838002,0.8483849703361898,0.9152933421226104,0.9861568885959129,0.5640281990736926,0.5215337288508021,0.5861349154032081,0.6459019995605362
