job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,folder,1vsAll_query_types_tail,1vsAll_query_types_relation,1vsAll_query_types_head,emb_e_dim,emb_r_dim,train_type,label_smoothing,train_loss,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,emb_e_dropout,emb_r_dropout,emb_initialize,emb_initialize_normal_mean,emb_initialize_normal_std,1vsAll_query_weight_head,1vsAll_query_weight_relation,1vsAll_query_weight_tail,akbc_factor,fwt_mrr_entity,fwt_hits@1_entity,fwt_hits@3_entity,fwt_hits@10_entity,fwt_mrr_relation,fwt_hits@1_relation,fwt_hits@3_relation,fwt_hits@10_relation,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
2c5d260b,fb15k-237,complex,1,search,1vsAll,valid,126,,,,mean_reciprocal_rank_filtered_with_test_entity,0.372487029289635,0,86df282b,/work/dhuynh/Workspaces/Thesis/kge/local/experiments/with_reciprocal_factors_scaling_er (with relation)/20220503-172029-fb15k-237-reciprocal-model-1vsAll-kl-factors-er-entity-AKBC-best-model,1,0,1,2000,2000,1vsAll,0.0,kl,Adagrad,100,0.1,,,lp,3,0.3,0.05,1,0.0,0.0,normal_,0.0,1.0,1.0,1.0,1.0,1,0.372487029289635,0.2779298545765611,0.4085258055317935,0.5631879098944967,0.9404382084046192,0.9130310806957512,0.9608212147134304,0.9873966353008268,0.5618040704305675,0.4896302632829579,0.5926242752590059,0.7045908183632734
cf4f4117,fb15k-237,complex,1,search,1vsAll,valid,363,,,,mean_reciprocal_rank_filtered_with_test_entity,0.3886399355307243,0,5a76c8f1,/work/dhuynh/Workspaces/Thesis/kge/local/experiments/with_reciprocal_factors_scaling_er (with relation)/20220503-235511-fb15k-237-reciprocal-model-1vsAll-kl-factors-er-entity-relation-AKBC-best-model,1,1,1,2000,2000,1vsAll,0.0,kl,Adagrad,1000,0.1,,,lp,3,0.3,0.05,1,0.0,0.0,normal_,0.0,1.0,1.0,4.0,1.0,1,0.3886399355307243,0.2991160536070715,0.4237239806102081,0.5671799258625606,0.9744852928072426,0.9565440547476476,0.9922440832620472,0.9968063872255488,0.5839216655973767,0.5182587206539302,0.6132306814941546,0.7103887463168901
d5d7820d,fb15k-237,complex,1,search,1vsAll,valid,75,,,,mean_reciprocal_rank_filtered_with_test_entity,0.262088462583761,0,c37b364a,/work/dhuynh/Workspaces/Thesis/kge/local/experiments/with_reciprocal_factors_scaling_er (with relation)/20220504-015142-fb15k-237-reciprocal-model-1vsAll-kl-factors-er-relation-AKBC-best-model,0,1,0,2000,2000,1vsAll,0.0,kl,Adagrad,1000,0.1,,,lp,3,0.003,0.0005,1,0.0,0.0,normal_,0.0,1.0,1.0,1.0,1.0,1,0.262088462583761,0.1872255489021956,0.2871400057028799,0.4071285999429712,0.9724037416238952,0.9535785571713716,0.9907043056743656,0.997034502423724,0.4988602036997434,0.4426765516585876,0.5216614390267085,0.6037639007698888
b1b3b8f6,wnrr,complex,1,search,1vsAll,valid,84,,,,mean_reciprocal_rank_filtered_with_test_entity,0.4863228945647248,0,ed6e6633,/work/dhuynh/Workspaces/Thesis/kge/local/experiments/with_reciprocal_factors_scaling_er (with relation)/20220504-025842-wnrr-reciprocal-model-1vsAll-kl-factors-er-entity-AKBC-best-model,1,0,1,2000,2000,1vsAll,0.0,kl,Adagrad,100,0.1,,,lp,3,0.6,0.1,1,0.0,0.0,normal_,0.0,1.0,1.0,1.0,1.0,1,0.4863228945647248,0.4444627554383651,0.4976928147659855,0.5710283454185893,0.8233009293115524,0.7656558998022412,0.8497033618984838,0.9871456822676334,0.5986489061470006,0.5515271368929906,0.6150296638101517,0.7097341243682708
3190d33a,wnrr,complex,1,search,1vsAll,valid,75,,,,mean_reciprocal_rank_filtered_with_test_entity,0.4864410621678271,0,94ecf033,/work/dhuynh/Workspaces/Thesis/kge/local/experiments/with_reciprocal_factors_scaling_er (with relation)/20220504-084022-wnrr-reciprocal-model-1vsAll-kl-factors-er-entity-relation-AKBC-best-model,1,1,1,2000,2000,1vsAll,0.0,kl,Adagrad,100,0.1,,,lp,3,0.6,0.1,1,0.0,0.0,normal_,0.0,1.0,1.0,0.05,1.0,1,0.4864410621678271,0.4456163480553724,0.4970336189848384,0.5726763348714567,0.8178593453876896,0.7560975609756097,0.8470665787738958,0.98022412656559,0.5969136891273896,0.5491100856954516,0.6137112722478576,0.7085255987695013
9b36ca4f,wnrr,complex,1,search,1vsAll,valid,9,,,,mean_reciprocal_rank_filtered_with_test_entity,0.1410461606834779,0,08e8bdfd,/work/dhuynh/Workspaces/Thesis/kge/local/experiments/with_reciprocal_factors_scaling_er (with relation)/20220504-212700-wnrr-reciprocal-model-1vsAll-kl-factors-er-relation-AKBC-best-model,0,1,0,2000,2000,1vsAll,0.0,kl,Adagrad,500,0.1,,,lp,3,3.0,0.5,1,0.0,0.0,normal_,0.0,1.0,1.0,1.0,1.0,1,0.1410461606834779,0.083058668424522,0.1817732366512854,0.2432432432432432,0.4626118830339485,0.3061964403427817,0.4357284113381674,0.9878048780487804,0.2482347683287327,0.1574379257306086,0.2664249615469127,0.491430454845089
